Entity,Code,Year,Category,Energy Consumption
World,OWID_WRL,1979,Solar,0
World,OWID_WRL,1979,Wind,0.017741943
World,OWID_WRL,1979,Hyrdropower,5012.647
World,OWID_WRL,1979,Nuclear,1846.8246
World,OWID_WRL,1979,Gas,14118.032
World,OWID_WRL,1979,Oil,37114.258
World,OWID_WRL,1979,Coal,20363.537
World,OWID_WRL,1979,Traditional Biomass,9943
World,OWID_WRL,1980,Other renewables,153.78857
World,OWID_WRL,1980,Modern Biofuels,32.78612
World,OWID_WRL,1980,Solar,0
World,OWID_WRL,1980,Wind,0.031048333
World,OWID_WRL,1980,Hyrdropower,5120.4688
World,OWID_WRL,1980,Nuclear,2020.0956
World,OWID_WRL,1980,Gas,14236.961
World,OWID_WRL,1980,Oil,35525.133
World,OWID_WRL,1980,Coal,20857.61
World,OWID_WRL,1980,Traditional Biomass,10000
World,OWID_WRL,1981,Other renewables,164.9076
World,OWID_WRL,1981,Modern Biofuels,29.747923
World,OWID_WRL,1981,Solar,0
World,OWID_WRL,1981,Wind,0.031048333
World,OWID_WRL,1981,Hyrdropower,5230.6284
World,OWID_WRL,1981,Nuclear,2385.6428
World,OWID_WRL,1981,Gas,14395.873
World,OWID_WRL,1981,Oil,34268.04
World,OWID_WRL,1981,Coal,21149.68
World,OWID_WRL,1981,Traditional Biomass,10106
World,OWID_WRL,1982,Other renewables,191.2329
World,OWID_WRL,1982,Modern Biofuels,37.556244
World,OWID_WRL,1982,Solar,0
World,OWID_WRL,1982,Wind,0.054704163
World,OWID_WRL,1982,Hyrdropower,5325.2656
World,OWID_WRL,1982,Nuclear,2588.3174
World,OWID_WRL,1982,Gas,14469.734
World,OWID_WRL,1982,Oil,33208.07
World,OWID_WRL,1982,Coal,21385.451
World,OWID_WRL,1982,Traditional Biomass,10213
World,OWID_WRL,1983,Other renewables,211.77058
World,OWID_WRL,1983,Modern Biofuels,49.01924
World,OWID_WRL,1983,Solar,0.008870971
World,OWID_WRL,1983,Wind,0.09697445
World,OWID_WRL,1983,Hyrdropower,5552.5425
World,OWID_WRL,1983,Nuclear,2933.459
World,OWID_WRL,1983,Gas,14703.833
World,OWID_WRL,1983,Oil,32956.613
World,OWID_WRL,1983,Coal,22046.346
World,OWID_WRL,1983,Traditional Biomass,10321
World,OWID_WRL,1984,Other renewables,236.32065
World,OWID_WRL,1984,Modern Biofuels,57.806423
World,OWID_WRL,1984,Solar,0.018661888
World,OWID_WRL,1984,Wind,0.13234167
World,OWID_WRL,1984,Hyrdropower,5740.62
World,OWID_WRL,1984,Nuclear,3559.8567
World,OWID_WRL,1984,Gas,15902.68
World,OWID_WRL,1984,Oil,33680.13
World,OWID_WRL,1984,Coal,23001.078
World,OWID_WRL,1984,Traditional Biomass,10430
World,OWID_WRL,1985,Other renewables,243.15495
World,OWID_WRL,1985,Modern Biofuels,68.41009
World,OWID_WRL,1985,Solar,0.03473722
World,OWID_WRL,1985,Wind,0.18989833
World,OWID_WRL,1985,Hyrdropower,5852.605
World,OWID_WRL,1985,Nuclear,4224.8374
World,OWID_WRL,1985,Gas,16262.222
World,OWID_WRL,1985,Oil,33667.098
World,OWID_WRL,1985,Coal,23987.826
World,OWID_WRL,1985,Traditional Biomass,10541
World,OWID_WRL,1986,Other renewables,263.68542
World,OWID_WRL,1986,Modern Biofuels,84.20299
World,OWID_WRL,1986,Solar,0.04489833
World,OWID_WRL,1986,Wind,0.4105228
World,OWID_WRL,1986,Hyrdropower,5931.9126
World,OWID_WRL,1986,Nuclear,4525.0864
World,OWID_WRL,1986,Gas,16421.11
World,OWID_WRL,1986,Oil,34712.902
World,OWID_WRL,1986,Coal,24258.035
World,OWID_WRL,1986,Traditional Biomass,10653
World,OWID_WRL,1987,Other renewables,282.4433
World,OWID_WRL,1987,Modern Biofuels,85.33012
World,OWID_WRL,1987,Solar,0.031353053
World,OWID_WRL,1987,Wind,0.57772696
World,OWID_WRL,1987,Hyrdropower,6012.1157
World,OWID_WRL,1987,Nuclear,4922.331
World,OWID_WRL,1987,Gas,17281.895
World,OWID_WRL,1987,Oil,35404.36
World,OWID_WRL,1987,Coal,25212.426
World,OWID_WRL,1987,Traditional Biomass,10765
World,OWID_WRL,1988,Other renewables,290.86093
World,OWID_WRL,1988,Modern Biofuels,89.560196
World,OWID_WRL,1988,Solar,0.030149443
World,OWID_WRL,1988,Wind,0.980478
World,OWID_WRL,1988,Hyrdropower,6204.8037
World,OWID_WRL,1988,Nuclear,5366.448
World,OWID_WRL,1988,Gas,18088.848
World,OWID_WRL,1988,Oil,36551.46
World,OWID_WRL,1988,Coal,25967.129
World,OWID_WRL,1988,Traditional Biomass,10879
World,OWID_WRL,1989,Other renewables,322.35043
World,OWID_WRL,1989,Modern Biofuels,95.68924
World,OWID_WRL,1989,Solar,0.77539134
World,OWID_WRL,1989,Wind,7.835361
World,OWID_WRL,1989,Hyrdropower,6172.975
World,OWID_WRL,1989,Nuclear,5518.996
World,OWID_WRL,1989,Gas,18888.676
World,OWID_WRL,1989,Oil,37164.043
World,OWID_WRL,1989,Coal,26215.674
World,OWID_WRL,1989,Traditional Biomass,10995
World,OWID_WRL,1990,Other renewables,361.19138
World,OWID_WRL,1990,Modern Biofuels,106.64288
World,OWID_WRL,1990,Solar,1.1483465
World,OWID_WRL,1990,Wind,10.741176
World,OWID_WRL,1990,Hyrdropower,6383.708
World,OWID_WRL,1990,Nuclear,5676.7207
World,OWID_WRL,1990,Gas,19481.125
World,OWID_WRL,1990,Oil,37676.57
World,OWID_WRL,1990,Coal,25906.625
World,OWID_WRL,1990,Traditional Biomass,11111
World,OWID_WRL,1991,Other renewables,376.81265
World,OWID_WRL,1991,Modern Biofuels,110.728714
World,OWID_WRL,1991,Solar,1.4942344
World,OWID_WRL,1991,Wind,12.082573
World,OWID_WRL,1991,Hyrdropower,6531.108
World,OWID_WRL,1991,Nuclear,5948.311
World,OWID_WRL,1991,Gas,19972.84
World,OWID_WRL,1991,Oil,37663.043
World,OWID_WRL,1991,Coal,25658.182
World,OWID_WRL,1991,Traditional Biomass,11243
World,OWID_WRL,1992,Other renewables,404.78116
World,OWID_WRL,1992,Modern Biofuels,108.79633
World,OWID_WRL,1992,Solar,1.379965
World,OWID_WRL,1992,Wind,13.994874
World,OWID_WRL,1992,Hyrdropower,6530.39
World,OWID_WRL,1992,Nuclear,5993.4634
World,OWID_WRL,1992,Gas,20063.484
World,OWID_WRL,1992,Oil,38147.168
World,OWID_WRL,1992,Coal,25558.422
World,OWID_WRL,1992,Traditional Biomass,11376
World,OWID_WRL,1993,Other renewables,418.23853
World,OWID_WRL,1993,Modern Biofuels,114.44431
World,OWID_WRL,1993,Solar,1.6460894
World,OWID_WRL,1993,Wind,16.867165
World,OWID_WRL,1993,Hyrdropower,6923.671
World,OWID_WRL,1993,Nuclear,6199.8696
World,OWID_WRL,1993,Gas,20265.482
World,OWID_WRL,1993,Oil,37961.344
World,OWID_WRL,1993,Coal,25688.932
World,OWID_WRL,1993,Traditional Biomass,11511
World,OWID_WRL,1994,Other renewables,434.65265
World,OWID_WRL,1994,Modern Biofuels,124.175285
World,OWID_WRL,1994,Solar,1.7652723
World,OWID_WRL,1994,Wind,21.088448
World,OWID_WRL,1994,Hyrdropower,6967.2666
World,OWID_WRL,1994,Nuclear,6316.248
World,OWID_WRL,1994,Gas,20389.613
World,OWID_WRL,1994,Oil,38782.055
World,OWID_WRL,1994,Coal,25788.928
World,OWID_WRL,1994,Traditional Biomass,11647
World,OWID_WRL,1995,Other renewables,454.25476
World,OWID_WRL,1995,Modern Biofuels,131.20163
World,OWID_WRL,1995,Solar,1.8891695
World,OWID_WRL,1995,Wind,24.46058
World,OWID_WRL,1995,Hyrdropower,7344.2354
World,OWID_WRL,1995,Nuclear,6590.213
World,OWID_WRL,1995,Gas,21104.494
World,OWID_WRL,1995,Oil,39460.77
World,OWID_WRL,1995,Coal,25966.357
World,OWID_WRL,1995,Traditional Biomass,11785
World,OWID_WRL,1996,Other renewables,466.32935
World,OWID_WRL,1996,Modern Biofuels,125.91322
World,OWID_WRL,1996,Solar,2.0676155
World,OWID_WRL,1996,Wind,27.250431
World,OWID_WRL,1996,Hyrdropower,7442.8306
World,OWID_WRL,1996,Nuclear,6828.8057
World,OWID_WRL,1996,Gas,22159.256
World,OWID_WRL,1996,Oil,40334.64
World,OWID_WRL,1996,Coal,26584.988
World,OWID_WRL,1996,Traditional Biomass,11925
World,OWID_WRL,1997,Other renewables,499.9418
World,OWID_WRL,1997,Modern Biofuels,130.18306
World,OWID_WRL,1997,Solar,2.2167242
World,OWID_WRL,1997,Wind,35.567307
World,OWID_WRL,1997,Hyrdropower,7573.9106
World,OWID_WRL,1997,Nuclear,6781.843
World,OWID_WRL,1997,Gas,22030.393
World,OWID_WRL,1997,Oil,41453.445
World,OWID_WRL,1997,Coal,26540.139
World,OWID_WRL,1997,Traditional Biomass,12066
World,OWID_WRL,1998,Other renewables,520.55
World,OWID_WRL,1998,Modern Biofuels,133.53989
World,OWID_WRL,1998,Solar,2.4006376
World,OWID_WRL,1998,Wind,47.10265
World,OWID_WRL,1998,Hyrdropower,7632.345
World,OWID_WRL,1998,Nuclear,6898.552
World,OWID_WRL,1998,Gas,22433.998
World,OWID_WRL,1998,Oil,41670.18
World,OWID_WRL,1998,Coal,26372.479
World,OWID_WRL,1998,Traditional Biomass,12209
World,OWID_WRL,1999,Other renewables,546.14624
World,OWID_WRL,1999,Modern Biofuels,135.43088
World,OWID_WRL,1999,Solar,2.6769266
World,OWID_WRL,1999,Wind,62.767708
World,OWID_WRL,1999,Hyrdropower,7690.094
World,OWID_WRL,1999,Nuclear,7161.0522
World,OWID_WRL,1999,Gas,23071.902
World,OWID_WRL,1999,Oil,42383.22
World,OWID_WRL,1999,Coal,26485.373
World,OWID_WRL,1999,Traditional Biomass,12414
World,OWID_WRL,2000,Other renewables,571.651
World,OWID_WRL,2000,Modern Biofuels,132.91783
World,OWID_WRL,2000,Solar,3.1327264
World,OWID_WRL,2000,Wind,92.87796
World,OWID_WRL,2000,Hyrdropower,7826.347
World,OWID_WRL,2000,Nuclear,7322.6826
World,OWID_WRL,2000,Gas,23994.258
World,OWID_WRL,2000,Oil,42978.04
World,OWID_WRL,2000,Coal,27434.627
World,OWID_WRL,2000,Traditional Biomass,12500
World,OWID_WRL,2001,Other renewables,593.69916
World,OWID_WRL,2001,Modern Biofuels,131.35425
World,OWID_WRL,2001,Solar,4.1827884
World,OWID_WRL,2001,Wind,112.75258
World,OWID_WRL,2001,Hyrdropower,7575.7827
World,OWID_WRL,2001,Nuclear,7480.557
World,OWID_WRL,2001,Gas,24316.832
World,OWID_WRL,2001,Oil,43377.22
World,OWID_WRL,2001,Coal,27864.945
World,OWID_WRL,2001,Traditional Biomass,12500
World,OWID_WRL,2002,Other renewables,639.19446
World,OWID_WRL,2002,Modern Biofuels,159.00194
World,OWID_WRL,2002,Solar,5.252374
World,OWID_WRL,2002,Wind,152.89404
World,OWID_WRL,2002,Hyrdropower,7665.752
World,OWID_WRL,2002,Nuclear,7551.0767
World,OWID_WRL,2002,Gas,25030.172
World,OWID_WRL,2002,Oil,43676.043
World,OWID_WRL,2002,Coal,28962.951
World,OWID_WRL,2002,Traditional Biomass,12470
World,OWID_WRL,2003,Other renewables,674.7783
World,OWID_WRL,2003,Modern Biofuels,178.32689
World,OWID_WRL,2003,Solar,6.541638
World,OWID_WRL,2003,Wind,183.53348
